Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
19-05-2010,20,27.9,23.1,82,0,5.9,4,315,2,NW
20-05-2010,20,25.8,21.3,92,7,4.7,2,315,0,NW
21-05-2010,20,27.9,22.7,79,19,1.7,2,270,0,W 
22-05-2010,19,29,22.4,82,7,3.8,3,315,1,NW
23-05-2010,20,25.9,22,88,3,5.8,3,135,1,SE
24-05-2010,20,26.3,21.7,91,16,2.3,3,270,1,W 
25-05-2010,20,27,22.3,83,3,2.6,4,270,2,W 
26-05-2010,20,27.4,22.7,86,1,3.4,2,135,1,SE
27-05-2010,19,28.2,21.3,87,21,4.5,2,270,1,W 
28-05-2010,19,27.2,22.1,86,0,0,3,270,1,W 
29-05-2010,19,27,21.8,82,0,4.5,3,135,1,SE
30-05-2010,19,27.1,22,86,8888,2.1,4,270,2,W 
31-05-2010,19,27.4,22.5,85,20,3.6,4,315,2,NW
01-06-2010,20,25.6,21.9,90,8,4.3,3,270,1,W 
02-06-2010,20,26.6,22.5,88,6,2.1,2,270,1,W 
03-06-2010,20,27.6,22.4,89,0,3.2,3,315,1,NW
04-06-2010,20,27.6,21.4,92,37,4.5,2,315,1,NW
05-06-2010,20,27.1,21.4,92,8,1.8,2,270,1,W 
06-06-2010,19,26.4,21,90,7,0.7,2,315,1,NW
07-06-2010,19,25,21.1,91,8888,1.5,1,135,1,SE
08-06-2010,20,25.1,20.5,94,1,0.1,3,270,1,W 
09-06-2010,19,26.5,21.5,80,119,0.7,1,135,0,SE
10-06-2010,20,26.1,21.4,82,0,0.3,3,135,1,SE
11-06-2010,19,23.6,22.4,73,0,0.4,3,270,1,W 
12-06-2010,19,25,21,89,0,5.6,3,135,2,SE
13-06-2010,18,25,21.7,77,12,0.5,2,135,1,SE
14-06-2010,19,26,22.2,86,0,4.2,3,270,2,W 
15-06-2010,20,25.1,21.2,92,8888,1.4,3,270,1,W 
16-06-2010,18,25.4,19.8,91,19,1.4,2,270,1,W 
17-06-2010,19,22.8,20.3,88,4,0,2,135,0,SE
18-06-2010,18,25,21.1,84,0,0,2,270,1,W 
19-06-2010,19,25.2,22.2,78,8,3.8,3,270,1,W 
20-06-2010,20,27.3,23.1,82,0,3,3,90,1,E 
21-06-2010,19,27.4,22.2,83,0,4.9,4,135,2,SE
22-06-2010,18,26.4,21.6,78,0,3.9,2,135,1,SE
23-06-2010,19,26.6,21.1,82,0,3.6,2,315,1,NW
24-06-2010,19,26.8,21.2,89,0,3.1,3,315,2,NW
25-06-2010,19,26,21.4,94,11,1.2,2,315,1,NW
26-06-2010,19,25.4,21,90,8888,1,2,270,1,W 
27-06-2010,19,27.1,22.3,88,5,3.2,4,270,2,W 
28-06-2010,19,24.5,21.1,91,0,5.6,4,135,2,SE
29-06-2010,19,24.4,20.5,91,0,1,3,315,1,NW
30-06-2010,19,26.4,21.6,89,10,1.4,3,90,1,E 
01-07-2010,19,27,22.1,80,8888,3.2,2,270,1,W 
02-07-2010,19,26.8,21.1,87,1,1.7,3,270,1,W 
03-07-2010,19,26.8,20.7,87,0,3.5,6,315,2,NW
04-07-2010,19,26.4,21.9,82,19,0.3,2,315,1,NW
05-07-2010,19,26.4,22,80,1,0,3,270,1,W 
06-07-2010,20,25.7,21.8,86,1,2.3,3,135,1,SE
07-07-2010,19,25.4,21,89,3,2.4,2,315,1,NW
08-07-2010,18,25.2,19.8,86,1,1.5,2,135,0,SE
09-07-2010,18,25.1,20.6,88,2,2.3,4,135,2,SE
10-07-2010,19,26,21.3,84,10,2.4,2,270,1,W 
11-07-2010,19,25.4,21.7,84,0,2.7,4,135,2,SE
12-07-2010,19,25.2,21.4,89,0,5,2,225,0,SW
13-07-2010,18,26,21.1,86,5,4.2,2,315,0,NW
14-07-2010,18,26.7,21.4,80,0,3.5,3,135,1,SE
15-07-2010,18,26.7,22.5,75,0,2.3,5,270,2,W 
16-07-2010,18,25.4,21.4,81,0,3.7,3,270,1,W 
17-07-2010,18,25.6,20.8,88,8888,0.7,4,90,2,E 
18-07-2010,18,24,20.5,90,3,0.9,2,270,0,W 
19-07-2010,18,25.6,20,93,29,1.9,3,270,1,W 
20-07-2010,18,26.3,21.3,87,33,0.7,3,270,1,W 
21-07-2010,18,26.6,21.5,87,8888,3.5,5,180,2,S 
22-07-2010,18,25.8,21.4,75,0,4.2,3,270,2,W 
23-07-2010,18,26.2,20.8,79,0,4.2,2,225,1,SW
24-07-2010,18,28.3,21.1,82,0,5.7,3,315,1,NW
25-07-2010,18,26.8,21.6,82,0,5.8,2,270,1,W 
26-07-2010,18,26.1,21.7,89,0,1.6,3,270,2,W 
27-07-2010,19,25.7,19.8,96,7,2.1,4,270,2,W 
28-07-2010,19,25,21.1,86,4,0,2,135,1,SE
29-07-2010,20,26.2,22.4,86,13,2.5,2,315,1,NW
30-07-2010,19,26.2,22.7,73,6,2.9,3,90,2,E 
31-07-2010,18,26.5,23,80,0,6.3,4,180,2,S 
01-08-2010,19,26.4,21.6,82,0,4.2,5,225,2,SW
02-08-2010,18,26.6,20.8,88,0,4,5,315,2,NW
03-08-2010,18,25.3,21,83,0,2.8,2,135,0,SE
04-08-2010,18,24.6,20.5,90,31,2.5,3,270,1,W 
05-08-2010,19,24.8,21,94,4,0.4,2,270,0,W 
06-08-2010,19,25.6,20.7,88,4,0.7,2,180,0,S 
07-08-2010,18,25.4,21.1,85,19,0.7,2,315,0,NW
08-08-2010,18,25.8,20.7,86,0,1.4,4,315,1,NW
09-08-2010,18,24.8,20.3,91,4,3.1,2,135,0,SE
10-08-2010,18,26.8,21.5,82,28,3,2,270,0,W 
11-08-2010,19,26.6,22.3,80,0,3,4,90,1,E 
12-08-2010,20,26.8,22.2,81,0,3.7,4,135,1,SE
13-08-2010,19,27.4,22.8,78,0,2.3,3,315,1,NW
14-08-2010,19,27.2,22.2,86,0,3.5,6,90,2,E 
15-08-2010,19,24,21,91,0,3.8,3,315,1,NW
16-08-2010,19,24,20.7,92,1,0.2,2,315,1,NW
17-08-2010,18,24.3,20.3,94,7,1.1,2,270,0,W 
18-08-2010,17,26,20.7,90,19,1.1,2,270,0,W 
19-08-2010,19,26.2,21.5,84,2,1.7,2,270,0,W 
20-08-2010,19,25.7,20.8,87,4,2.5,3,315,1,NW
21-08-2010,19,25.4,21.9,85,10,1.6,4,90,1,E 
22-08-2010,18,27,21.9,81,6,1.4,2,270,0,W 
23-08-2010,20,26.2,22.4,79,8888,1.6,3,270,1,W 
24-08-2010,19,26,21.2,90,0,2.1,2,270,0,W 
25-08-2010,19,27,21.5,88,34,1.6,2,135,0,SE
26-08-2010,19,27.8,22.9,79,69,3,4,315,1,NW
27-08-2010,19,25.8,19.7,88,7,5.1,3,135,1,SE
28-08-2010,18,25.2,20.7,88,49,2.4,3,135,1,SE
29-08-2010,18,27.3,21.5,82,8,1.9,2,270,0,W 
30-08-2010,19,28,22.1,76,0,4.3,2,270,0,W 
31-08-2010,18,27.4,21.7,80,0,6.1,3,90,1,E 
